Brain-region,NLL,EV,MSLL,BIC,Skew,Kurtosis
lh_G&S_frontomargin_thickness,-6524.508868,0.306800175,-0.175740245,-13009.36676,0.179387294,0.885690763
lh_G&S_occipital_inf_thickness,-6360.155065,0.288814489,-0.193221429,-12680.65915,0.018619811,0.210075306
lh_G&S_paracentral_thickness,-4791.860575,0.344407821,-0.209020787,-9544.070172,0.033813259,0.703559856
lh_G&S_subcentral_thickness,-6495.917696,0.318701878,-0.185878424,-12952.18441,0.039760338,0.17430446
lh_G&S_transv_frontopol_thickness,-2616.86745,0.357053743,-0.195349929,-5194.083922,0.243472933,0.741994136
lh_G&S_cingul-Ant_thickness,-9222.912194,0.366479459,-0.220031743,-18406.17361,0.158901872,0.694237315
lh_G&S_cingul-Mid-Ant_thickness,-5035.218144,0.395170824,-0.218548442,-10030.78571,-0.273196338,1.356560188
lh_G&S_cingul-Mid-Post_thickness,-10990.08532,0.463707662,-0.299219474,-21940.52026,0.030845156,0.606149711
lh_G_cingul-Post-dorsal_thickness,-6926.571822,0.384217574,-0.207630086,-13813.49346,0.053968941,0.595979691
lh_G_cingul-Post-ventral_thickness,1581.258166,0.387010664,-0.234872108,3202.16731,-0.03017386,0.282037361
lh_G_cuneus_thickness,-9915.463269,0.464129554,-0.320251307,-19791.27556,0.413444219,1.117906888
lh_G_front_inf-Opercular_thickness,-7524.73831,0.417241034,-0.263883898,-15009.82584,0.11244099,0.239841455
lh_G_front_inf-Orbital_thickness,-1647.809624,0.36008584,-0.20696823,-3255.968271,-0.08459382,0.329693121
lh_G_front_inf-Triangul_thickness,-5953.758168,0.462296007,-0.291402045,-11867.86536,0.092829255,0.863149942
lh_G_front_middle_thickness,-9100.754731,0.475309679,-0.320973427,-18161.85848,-0.312412625,2.010037147
lh_G_front_sup_thickness,-8388.057563,0.48553002,-0.331838963,-16736.46415,0.015879949,0.480985713
lh_G_Ins_lg&S_cent_ins_thickness,1575.317222,0.11990758,-0.051385327,3190.285423,0.016343513,0.151495046
lh_G_insular_short_thickness,402.3639779,0.151088299,-0.069665268,844.3783397,-0.19615485,0.1777099
lh_G_occipital_middle_thickness,-7955.763896,0.367856734,-0.250301795,-15871.87681,-0.111971939,0.59038715
lh_G_occipital_sup_thickness,-5610.921648,0.339476896,-0.2314954,-11182.19232,0.076762325,0.482922308
lh_G_oc-temp_lat-fusifor_thickness,-7821.730421,0.346250078,-0.228506828,-15603.81006,-0.054141704,0.621203796
lh_G_oc-temp_med-Lingual_thickness,-10925.90391,0.533092212,-0.404446102,-21812.15704,0.122156789,0.19606127
lh_G_oc-temp_med-Parahip_thickness,-129.4422293,0.123945318,-0.065240764,-219.2334803,-0.056417634,0.17387559
lh_G_orbital_thickness,-7721.79022,0.356296772,-0.219043161,-15403.92946,0.089275155,0.410574787
lh_G_pariet_inf-Angular_thickness,-7278.673181,0.45981292,-0.311551673,-14517.69538,-0.226906112,0.606314143
lh_G_pariet_inf-Supramar_thickness,-7878.487369,0.433964381,-0.280125794,-15717.32376,-0.122071148,0.224086122
lh_G_parietal_sup_thickness,-8123.681068,0.509661492,-0.350147303,-16207.71116,-0.020910601,0.73132741
lh_G_postcentral_thickness,-5027.931582,0.324219901,-0.192619695,-10016.21219,0.14588348,0.751871575
lh_G_precentral_thickness,-3100.934018,0.290835171,-0.139967203,-6162.217256,-0.451220704,1.338694402
lh_G_precuneus_thickness,-8580.360814,0.484450429,-0.322662336,-17121.07065,0.127024891,0.425517127
lh_G_rectus_thickness,-3663.486368,0.249085961,-0.120313419,-7287.321757,0.007588704,0.845568191
lh_G_subcallosal_thickness,9310.69242,0.310622592,-0.199702003,18661.03562,0.036700625,0.361952721
lh_G_temp_sup-G_T_transv_thickness,-237.9597003,0.319141625,-0.174769938,-436.2684223,0.042401974,0.097822211
lh_G_temp_sup-Lateral_thickness,-2611.84502,0.274264691,-0.133302283,-5184.039061,-0.070544719,0.187323072
